Index	Label
0	1
1	1
2	1
3	0
4	1
5	1
6	0
7	0
8	1
9	1
10	1
11	0
12	0
13	1
14	0
15	0
16	0
17	1
18	1
19	0
20	1
21	0
22	0
23	1
24	0
25	0
26	0
27	1
28	1
29	1
30	0
31	1
32	0
33	1
34	0
35	1
36	1
37	0
38	1
39	0
40	0
41	0
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	0
51	1
52	0
53	1
54	1
55	0
56	0
57	1
58	1
59	1
60	1
61	1
62	0
63	0
64	1
65	0
66	1
67	1
68	1
69	1
70	1
71	0
72	1
73	0
74	1
75	1
76	0
77	0
78	1
79	0
80	0
81	1
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	1
92	1
93	0
94	1
95	0
96	1
97	1
98	0
99	1
100	0
101	1
102	0
103	0
104	0
105	1
106	1
107	0
108	0
109	1
110	0
111	1
112	1
113	0
114	0
115	0
116	1
117	1
118	1
119	1
120	1
121	1
122	1
123	0
124	1
125	1
126	0
127	0
128	0
129	1
130	1
131	1
132	1
133	1
134	1
135	1
136	0
137	1
138	0
139	1
140	0
141	0
142	0
143	1
144	0
145	1
146	0
147	1
148	1
149	1
150	0
151	0
152	0
153	0
154	1
155	0
156	0
157	0
158	1
159	1
160	1
161	0
162	1
163	1
164	1
165	0
166	1
167	0
168	0
169	1
170	0
171	0
172	0
173	1
174	1
175	0
176	1
177	1
178	0
179	1
180	1
181	1
182	0
183	1
184	0
185	0
186	1
187	1
188	0
189	1
190	1
191	1
192	1
193	0
194	0
195	1
196	0
197	0
198	0
199	1
200	1
201	1
202	0
203	1
204	1
205	1
206	0
207	1
208	1
209	1
210	1
211	1
212	0
213	1
214	0
215	0
216	0
217	1
218	1
219	0
220	1
221	1
222	0
223	1
224	0
225	1
226	0
227	1
228	0
229	0
230	0
231	0
232	0
233	0
234	1
235	0
236	1
237	0
238	1
239	0
240	0
241	1
242	0
243	1
244	0
245	0
246	0
247	1
248	0
249	0
250	1
251	1
252	0
253	0
254	0
255	0
256	1
257	1
258	1
259	0
260	1
261	0
262	1
263	0
264	1
265	1
266	1
267	0
268	1
269	1
270	0
271	0
272	0
273	0
274	0
275	0
276	1
277	0
278	1
279	0
280	1
281	0
282	0
283	1
284	1
285	0
286	1
287	1
288	0
289	1
290	1
291	1
292	0
293	0
294	1
295	0
296	0
297	0
298	0
299	1
300	0
301	0
302	0
303	0
304	1
305	1
306	0
307	1
308	1
309	0
310	0
311	1
312	0
313	1
314	0
315	0
316	1
317	1
318	0
319	1
320	1
321	0
322	1
323	1
324	1
325	1
326	0
327	0
328	0
329	1
330	0
331	0
332	0
333	0
334	0
335	0
336	1
337	1
338	0
339	0
340	0
341	1
342	1
343	1
344	1
345	0
346	1
347	0
348	1
349	1
350	1
351	0
352	1
353	1
354	1
355	1
356	0
357	0
358	0
359	1
360	0
361	1
362	1
363	0
364	0
365	1
366	0
367	0
368	1
369	0
370	0
371	0
372	0
373	1
374	0
375	0
376	1
377	1
378	1
379	0
380	0
381	1
382	1
383	1
384	0
385	1
386	0
387	1
388	1
389	1
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	1
399	0
400	1
401	1
402	1
403	0
404	0
405	1
406	1
407	1
408	0
409	1
410	0
411	1
412	1
413	1
414	0
415	1
416	1
417	0
418	0
419	0
420	1
421	1
422	0
423	0
424	0
425	1
426	0
427	1
428	0
429	1
430	0
431	1
432	1
433	1
434	0
435	1
436	0
437	0
438	0
439	0
440	1
441	1
442	1
443	1
444	0
445	1
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	1
455	0
456	1
457	1
458	0
459	0
460	0
461	1
462	0
463	0
464	0
465	0
466	0
467	1
468	0
469	0
470	0
471	1
472	1
473	0
474	1
475	0
476	1
477	1
478	0
479	1
480	0
481	1
482	1
483	0
484	1
485	1
486	0
487	1
488	1
489	0
490	1
491	0
492	1
493	1
494	1
495	1
496	1
497	0
498	0
499	0
500	0
501	0
502	1
503	0
504	0
505	0
506	1
507	0
508	0
509	0
510	0
511	0
512	0
513	0
514	1
515	0
516	1
517	1
518	1
519	1
520	0
521	1
522	1
523	0
524	1
525	0
526	0
527	1
528	1
529	1
530	0
531	0
532	0
533	0
534	0
535	0
536	1
537	1
538	1
539	1
540	1
541	0
542	0
543	0
544	1
545	1
546	1
547	1
548	1
549	0
550	0
551	0
552	1
553	0
554	0
555	0
556	0
557	1
558	0
559	0
560	0
561	0
562	0
563	0
564	1
565	0
566	1
567	0
568	1
569	0
570	1
571	1
572	1
573	1
574	0
575	0
576	0
577	0
578	1
579	0
580	0
581	0
582	0
583	0
584	0
585	0
586	1
587	0
588	1
589	1
590	1
591	1
592	1
593	0
594	0
595	1
596	0
597	1
598	1
599	1
600	1
601	1
602	1
603	1
604	0
605	1
606	0
607	0
608	1
609	0
610	0
611	1
612	1
613	0
614	0
615	1
616	0
617	0
618	0
619	0
620	0
621	0
622	0
623	0
624	1
625	0
626	1
627	1
628	1
629	1
630	0
631	0
632	0
633	1
634	0
635	0
636	0
637	0
638	1
639	1
640	0
641	0
642	0
643	0
644	0
645	0
646	0
647	0
648	1
649	0
650	1
651	0
652	0
653	0
654	0
655	0
656	1
657	1
658	1
659	1
660	1
661	0
662	0
663	1
664	0
665	1
666	0
667	1
668	1
669	1
670	0
671	0
672	0
673	1
674	0
675	0
676	1
677	0
678	0
679	1
680	0
681	1
682	1
683	0
684	0
685	1
686	1
687	1
688	1
689	0
690	0
691	0
692	1
693	1
694	0
695	1
696	1
697	0
698	0
699	0
700	0
701	1
702	0
703	1
704	0
705	1
706	0
707	0
708	1
709	0
710	1
711	1
712	1
713	1
714	1
715	1
716	1
717	0
718	1
719	0
720	1
721	1
722	1
723	1
724	0
725	0
726	1
727	0
728	0
729	1
730	0
731	1
732	0
733	1
734	1
735	1
736	0
737	1
738	1
739	0
740	1
741	0
742	1
743	0
744	1
745	1
746	1
747	1
748	0
749	1
750	0
751	1
752	1
753	1
754	0
755	1
756	1
757	0
758	0
759	0
760	1
761	1
762	1
763	0
764	0
765	0
766	0
767	1
768	1
769	1
770	0
771	0
772	1
773	0
774	0
775	1
776	0
777	1
778	0
779	1
780	0
781	0
782	1
783	0
784	0
785	1
786	1
787	1
788	1
789	0
790	0
791	1
792	0
793	0
794	1
795	0
796	1
797	0
798	1
799	0
800	0
801	0
802	0
803	1
804	0
805	0
806	1
807	0
808	0
809	0
810	0
811	1
